Values,Timestamp,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
0.11687634140253067,2024-05-17 16:31:58.175412178+00:00,0.11672751108805339,0.11672751108805339,0.11666966752417104,5.784279226368999e-05,0,0,0.0,0.0,0.0,0,0.0
0.11642985045909882,2024-05-17 16:31:58.425395966+00:00,0.11597855389118195,0.11597855389118195,0.11654043730196136,-0.0005618840843956766,0,0,0.0,0.0,0.0,0,0.0
0.11462946981191635,2024-05-17 16:31:58.675379753+00:00,0.11523439735174179,0.11523439735174179,0.11641115173901191,-0.0011767549469755374,0,0,0.0,0.0,0.0,0,0.0
0.1146438717842102,2024-05-17 16:31:58.925363541+00:00,0.1146438717842102,0.1146438717842102,0.11628233083383335,-0.0016384594783839356,1,0,0.0,0.0,0.0,0,0.0
0.11465827375650406,2024-05-17 16:31:59.175347328+00:00,0.11541683475176494,0.11541683475176494,0.11615445517558345,-0.0007376207034546687,0,0,0.0,0.0,0.0,0,0.0
0.11694835871458054,2024-05-17 16:31:59.425331116+00:00,0.11540243277947108,0.11540243277947108,0.11602796085998385,-0.0006255281916819823,0,0,0.0,0.0,0.0,0,0.0
0.11460066586732864,2024-05-17 16:31:59.675314903+00:00,0.11536882569392522,0.11536882569392522,0.11590324778688357,-0.000534422015145732,0,1,-0.000534422015145732,0.0011040374632382036,0.7499512763684248,0,0.0
0.11455745249986649,2024-05-17 16:31:59.925298691+00:00,0.1145958627263705,0.1145958627263705,0.11578068806600178,-0.0011848250511455175,1,0,0.0,0.0,0.0,0,0.0
0.11462946981191635,2024-05-17 16:32:00.175282240+00:00,0.1145526518424352,0.1145526518424352,0.11566062451857945,-0.0011079721541210111,0,0,0.0,0.0,0.0,0,0.0
0.11447103321552277,2024-05-17 16:32:00.425266027+00:00,0.11446623504161835,0.11446623504161835,0.11554336332127857,-0.0010771275000735349,0,0,0.0,0.0,0.0,0,0.0
0.11429820209741592,2024-05-17 16:32:00.675249815+00:00,0.11447103569904964,0.11447103569904964,0.1154291697010882,-0.0009581329397211858,0,0,0.0,0.0,0.0,0,0.0
0.1146438717842102,2024-05-17 16:32:00.925233603+00:00,0.11447583884000778,0.11447583884000778,0.11531826896871418,-0.0008424287573800269,0,0,0.0,0.0,0.0,0,0.0
0.11448544263839722,2024-05-17 16:32:01.175217390+00:00,0.11453825235366821,0.11453825235366821,0.11521085020382359,-0.0006725961424716982,0,0,0.0,0.0,0.0,0,0.0
0.11448544263839722,2024-05-17 16:32:01.425201178+00:00,0.11453825235366821,0.11453825235366821,0.11510707098214758,-0.0005688165560727787,0,0,0.0,0.0,0.0,0,0.0
0.1146438717842102,2024-05-17 16:32:01.675184965+00:00,0.11457185943921407,0.11457185943921407,0.11500706249659688,-0.00043520059093607184,0,0,0.0,0.0,0.0,0,0.0
0.11458626389503479,2024-05-17 16:32:01.925168753+00:00,0.11455745498339336,0.11455745498339336,0.11491093440286938,-0.0003534765287998258,0,1,-0.0003534765287998258,0.0008313485223456917,1.9998700703157994,0,0.0
0.11444222927093506,2024-05-17 16:32:02.175152302+00:00,0.11427419632673264,0.11427419632673264,0.11481877844654127,-0.0005445787739361866,0,0,0.0,0.0,0.0,0,0.0
0.11379409581422806,2024-05-17 16:32:02.425136089+00:00,0.11398133387168248,0.11398133387168248,0.11473066884287303,-0.0007493311384883562,0,0,0.0,0.0,0.0,0,0.0
0.11370767652988434,2024-05-17 16:32:02.675119877+00:00,0.11375088493029277,0.11375088493029277,0.11464665834209559,-0.0008957690600988376,0,0,0.0,0.0,0.0,1,0.7499512763684248
0.1137508824467659,2024-05-17 16:32:02.925103664+00:00,0.11365486433108647,0.11365486433108647,0.11456677224214709,-0.0009119030077909433,0,0,0.0,0.0,0.0,0,0.0
0.11350603401660919,2024-05-17 16:32:03.175087452+00:00,0.1134820282459259,0.1134820282459259,0.11449100350386046,-0.0010089697703099458,1,0,0.0,0.0,0.0,0,0.0
0.11318916827440262,2024-05-17 16:32:03.425071239+00:00,0.11345802495876949,0.11345802495876949,0.11441930982559705,-0.0009612787620209771,0,0,0.0,0.0,0.0,0,0.0
0.11367887258529663,2024-05-17 16:32:03.675055027+00:00,0.11351083715756734,0.11351083715756734,0.11435161249465547,-0.0008407685824445242,0,0,0.0,0.0,0.0,0,0.0
0.11366447061300278,2024-05-17 16:32:03.925038815+00:00,0.11363086104393005,0.11363086104393005,0.1142877976919258,-0.0006569292112654193,0,0,0.0,0.0,0.0,0,0.0
0.11354923993349075,2024-05-17 16:32:04.175022364+00:00,0.11367406944433849,0.11367406944433849,0.11422772043574216,-0.0005536428410003284,0,0,0.0,0.0,0.0,0,0.0
0.11380849778652191,2024-05-17 16:32:04.425006151+00:00,0.11368847141663234,0.11368847141663234,0.11417120962504552,-0.0004827293136980066,0,0,0.0,0.0,0.0,0,0.0
0.11370767652988434,2024-05-17 16:32:04.674989939+00:00,0.11374608427286148,0.11374608427286148,0.11411807249447578,-0.00037197855320727157,0,1,-0.00037197855320727157,0.0006369912171026742,1.4999025527368497,0,0.0
0.11372207850217819,2024-05-17 16:32:04.924973726+00:00,0.11360205461581548,0.11360205461581548,0.11406809788164111,-0.00046603279594514856,0,0,0.0,0.0,0.0,0,0.0
0.11337640881538391,2024-05-17 16:32:05.174957514+00:00,0.11362125724554062,0.11362125724554062,0.11402105799359111,-0.00039978945088236075,0,0,0.0,0.0,0.0,0,0.0
