,sub-1,sub-2,sub-3,sub-4,sub-6,sub-7,sub-8,sub-9,sub-10,sub-11,Row_Wise_Mean,Row_Wise_STD
0,1.14716762573491,0.0083802207408563,2.301219740060676,0.0823971345539998,0.0644290189748669,0.1365716366348114,0.010460140957772,1.589988676591466,0.0531389481582649,0.076288484626057,0.547004162703368,0.7865080944700101
1,1.1459293851994832,0.0084451023890641,2.303456852340037,0.0823934494056441,0.0643965570940473,0.1364539090301805,0.0105053309265667,1.5889641591504011,0.0531238538134349,0.0762707099624792,0.5469939309311338,0.7867799841061089
2,1.1447001521522782,0.0085078972510947,2.3055520214419416,0.0823913419134347,0.0643663012793123,0.1363337607660031,0.0105513042551987,1.587913675861925,0.0531095371007601,0.0762545754649215,0.546968056748687,0.7870181191498862
3,1.143486068324203,0.0085682273694905,2.3074783518243387,0.0823908741161789,0.0643384090296304,0.1362114306833254,0.0105978838443057,1.5868389374800174,0.0530959506961182,0.076240200608761,0.546924633397637,0.7872171059253691
4,1.1422932856864336,0.008625745904098,2.309211260174358,0.0823920842150876,0.0643130335532786,0.1360871761367311,0.0106449246457913,1.5857417067378443,0.0530830579674083,0.0762276983808457,0.5468619973401878,0.787372049673529
5,1.14112787122474,0.0086801418860343,2.3107292537322013,0.0823949912130208,0.0642903258809708,0.1359612686610229,0.0106923201156579,1.5846237790896285,0.0530708409184967,0.0762171767063746,0.5467787969428148,0.7874787226231548
6,1.1399956393056938,0.0087311433276959,2.3120142464149516,0.0823996012749193,0.0642704357847399,0.135833989047458,0.0107399980312654,1.5834869595043704,0.0530593024773822,0.0762087374018848,0.5466740052570361,0.7875336247671243
7,1.1389019723987792,0.0087785285741953,2.313051446525889,0.0824059063812028,0.0642535104099086,0.1357056258579713,0.0107879087776685,1.5823330400032682,0.0530484666187295,0.076202472684563,0.5465468878232176,0.7875339486455454
8,1.1378517209147203,0.0088221502768411,2.313828997382935,0.0824138753311293,0.0642396879601385,0.1355764751242459,0.0108360131193449,1.5811637815678654,0.0530383743299182,0.0761984595543987,0.5463969535561537,0.7874774950673527
9,1.136849214139937,0.0088619575123502,2.314337550043027,0.0824234445904524,0.0642290851715415,0.1354468381086589,0.0108842752028321,1.5799809026843803,0.0530290717357727,0.0761967526978921,0.5462239091886845,0.7873625828832411
10,1.1358983465004753,0.0088979968549823,2.3145698833941037,0.0824345126229736,0.0642217823692383,0.1353170168412817,0.0109326601512057,1.5787860766192436,0.0530205929434181,0.0761973772491152,0.5460276245546037,0.787187976844634
11,1.135002690421781,0.0089303917742594,2.314520644595331,0.082446936758904,0.064217812669341,0.1351873084969813,0.0109811289982155,1.5775809362963955,0.0530129450196053,0.0762003261084399,0.5458081121139253,0.7869528455980337
12,1.1341656046056898,0.0089593205960253,2.3141862614586146,0.0824605359447326,0.0642171576460298,0.1350580012097368,0.0110296280002781,1.5763670813926545,0.0530061001335382,0.0762055667147959,0.5455655257702096,0.7866567562658944
13,1.1333903227588666,0.0089850092001358,2.31356502329226,0.0824751035102056,0.0642197466137397,0.1349293741274171,0.0110780805083362,1.575146083573188,0.0529999951625519,0.0762130550634906,0.5453001793810193,0.786299701580446
14,1.1326800226086515,0.0090077330822933,2.312657245345586,0.0824904256801487,0.0642254589645754,0.1348017010668157,0.0111263888498836,1.5739194905038822,0.0529945370913152,0.0762227477033526,0.5450125750896505,0.7858821414898899
15,1.132037879543574,0.0090278149964036,2.3114654186039902,0.082506298276151,0.0642341316229838,0.1346752544060292,0.0111744425514842,1.572688831658149,0.0529896106715823,0.0762346041063783,0.5447034286436725,0.7854050402159658
16,1.1314670982233404,0.0090456124464927,2.309994328181542,0.0825225393506242,0.0642455694140161,0.1345503055653948,0.0112221262924478,1.5714556262481505,0.0529850849593605,0.0762485807157603,0.544373687139713,0.7848698959247493
17,1.130970905527358,0.0090614978763657,2.308251193506481,0.0825389990879401,0.064259553832,0.1344271205563466,0.0112693279483933,1.5702213897097772,0.052980819603294,0.07626462374448,0.5440245431392436,0.784278772806203
18,1.1305524879245978,0.0090758354108123,2.306245853111604,0.0825555656407841,0.064275850319865,0.1343059522697576,0.0113159481133022,1.5689876341870097,0.0529766751108754,0.0762826670302411,0.543657446911885,0.7836343377739444
19,1.1302148665985845,0.0090889573037597,2.3039909371637397,0.0825721638182295,0.0642942168703439,0.1341870317476906,0.0113619073286276,1.5677558622482208,0.0529725278756271,0.0763026354179291,0.5432741106372753,0.7829398881749264
20,1.129960728696753,0.0091011462695229,2.301501939589206,0.0825887470989126,0.0643144138434049,0.1340705598020465,0.0114071490552588,1.566527558982206,0.0529682823620011,0.0763244476312311,0.5428764973330543,0.7821993531032272
21,1.1297922700011254,0.0091126287188644,2.2987971294405742,0.0826052874457929,0.0643362131097616,0.1339567005960593,0.0114516413202119,1.5653041850709548,0.0529638723865579,0.0763480147119639,0.5424667942801865,0.781417259164306
22,1.1297111313308863,0.0091235777794354,2.295897299405292,0.0826217699607075,0.0643594062319911,0.1338455793662513,0.0114953773490781,1.5640871667099123,0.0529592539588554,0.0763732384922123,0.5420473800584622,0.7805986650719472
23,1.1297185006270254,0.0091341235291226,2.2928254172372213,0.0826381963613464,0.064383810719324,0.133737283477716,0.0115383708607375,1.5628778810735766,0.0529543976819811,0.076400015468526,0.5416207997036577,0.779749084860352
24,1.1298153953215266,0.0091443689024075,2.2896062689543273,0.0826545908856038,0.0644092707371013,0.1336318599205004,0.0115806462077432,1.5616776422379726,0.0529492822476527,0.0764282432444788,0.5411897568659314,0.7788744229002992
