timestamp,eda_raw,eda_smoothed,EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
2024-03-15 14:52:38.095466852+00:00,5.00244665145874,5.000147024790446,5.000147024790446,5.000147024790446,4.979997631669087,0.0201493931214164,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:38.345449924+00:00,5.011045455932617,5.007310231526692,5.007310231526692,5.007310231526692,4.97426603760348,0.033044193923270446,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:38.595432997+00:00,5.008438587188721,5.007324695587158,5.007324695587158,5.007324695587158,4.9685240792228536,0.03880061636436393,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:38.845416069+00:00,5.002490043640137,5.000756899515788,5.000756899515788,5.000756899515788,4.962791814459036,0.03796508505681021,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:39.095399141+00:00,4.991342067718506,4.988063017527263,4.988063017527263,4.988063017527263,4.957090654726103,0.030972362801217266,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:39.345382214+00:00,4.9703569412231445,4.97132666905721,4.97132666905721,4.97132666905721,4.951443345492267,0.019883323564998542,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:39.595365286+00:00,4.9522809982299805,4.952559471130371,4.952559471130371,4.952559471130371,4.94587373489595,0.0066857362344744835,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:39.845348358+00:00,4.935040473937988,4.937921206156413,4.937921206156413,4.937921206156413,4.940406398887669,-0.002485192731207084,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:40.095331430+00:00,4.9264421463012695,4.925030549367269,4.925030549367269,4.925030549367269,4.935066224748021,-0.010035675380709281,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:40.345314503+00:00,4.913609027862549,4.914362748463948,4.914362748463948,4.914362748463948,4.929878042700555,-0.01551529423656911,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:40.595297575+00:00,4.903037071228027,4.900876681009929,4.900876681009929,4.900876681009929,4.924866326655649,-0.023989645645690623,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:40.845280647+00:00,4.885983943939209,4.89242680867513,4.89242680867513,4.89242680867513,4.920054932584087,-0.027628123908936555,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:41.095263720+00:00,4.888259410858154,4.887428919474284,4.887428919474284,4.887428919474284,4.915466871463052,-0.028037951988757054,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:41.345246792+00:00,4.888043403625488,4.888307412465413,4.888307412465413,4.888307412465413,4.911124171950556,-0.022816759485140472,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:41.595229864+00:00,4.888619422912598,4.890880743662517,4.890880743662517,4.890880743662517,4.907047885263902,-0.016167141601391287,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:41.845212936+00:00,4.895979404449463,4.896013100941976,4.896013100941976,4.896013100941976,4.903258231903608,-0.007245130961646247,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:42.095196009+00:00,4.903440475463867,4.89924430847168,4.89924430847168,4.89924430847168,4.8997748465718765,-0.0005305381002179805,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:42.345179081+00:00,4.898313045501709,4.896474202473958,4.896474202473958,4.896474202473958,4.896617046498571,-0.00014284402464116323,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:42.595162153+00:00,4.887669086456299,4.888504505157471,4.888504505157471,4.888504505157471,4.893804019748085,-0.005299514590647582,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:42.845145226+00:00,4.879531383514404,4.8782734870910645,4.8782734870910645,4.8782734870910645,4.8913548483301845,-0.013081361239158101,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:43.095128298+00:00,4.86761999130249,4.8675432205200195,4.8675432205200195,4.8675432205200195,4.889288359340946,-0.021745138820967794,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:43.345111370+00:00,4.855478286743164,4.856606483459473,4.856606483459473,4.856606483459473,4.887622860786557,-0.031016377327128874,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:43.595094442+00:00,4.846721172332764,4.844728787740071,4.844728787740071,4.844728787740071,4.88637581753086,-0.041647029790838036,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:43.845077515+00:00,4.831986904144287,4.8329423268636065,4.8329423268636065,4.8329423268636065,4.885563490117855,-0.05262116325430251,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:44.095060587+00:00,4.8201189041137695,4.821756045023601,4.821756045023601,4.821756045023601,4.885200543350018,-0.06344449832647547,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:44.345043659+00:00,4.813162326812744,4.814309755961101,4.814309755961101,4.814309755961101,4.8852996447985655,-0.07098988883752626,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:44.595026731+00:00,4.809648036956787,4.807626724243164,4.807626724243164,4.807626724243164,4.885871090895464,-0.07824436665236302,0,0,0.0,0.0,0.0,0,0.0
2024-03-15 14:52:44.845009804+00:00,4.800069808959961,4.801198164621989,4.801198164621989,4.801198164621989,4.886922482749064,-0.08572431812714015,0,0,0.0,0.0,0.0,0,0.0
